water_yr,Station,combo_name,OWQI_basin,Date,temp,d_o,do_sat,bod,ph,ts,nh3,no2,p,ecoli,fecal,temp_si,bod_si,ph_si,n_si,p_si,do_si,ts_si,ecoli_si,fec_si,bact_si,owqi,temp_cond,bod_cond,ph_cond,n_cond,p_cond,do_cond,ts_cond,bact_cond,owqi_cond
2014,10414,ROGUE  Rogue R at Lobster Point Bridge,Rogue,11/19/13,10,11.3,101,1.4,7.9,112,0.005,0.123,0.08,29,,100.0,75.7,100.0,94.3,76.0,98.8,74.1,98.0,,98.0,87.3,Excellent,Poor,Excellent,Excellent,Poor,Excellent,Poor,Excellent,Good
2014,10414,ROGUE  Rogue R at Lobster Point Bridge,Rogue,3/12/14,9.1,11.7,101,0.6,7.9,109,0.01,0.0621,0.08,46,,100.0,88.7,100.0,96.7,76.0,98.8,75.2,96.2,,96.2,89.7,Excellent,Good,Excellent,Excellent,Poor,Excellent,Poor,Excellent,Excellent
2014,11484,UMP  S Umpqua R at Days Creek Cutoff Rd,Umpqua,3/11/14,7,12.2,101,0.6,7.7,109,0.005,0.0283,0.1,20,,100.0,88.7,100.0,98.5,70.0,98.8,68.1,98.0,,98.0,87.0,Excellent,Good,Excellent,Excellent,Poor,Excellent,Poor,Excellent,Good
2014,10404,UMA  Umatilla R at Yoakum,JD_Umat_GR_Crook,10/7/13,13.2,10.9,108,0.8,8.2,110,0.005,0.149,0.09,28,,98.6,85.3,90.1,93.2,73.0,90.9,98.6,98.0,,98.0,89.7,Excellent,Good,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent
2014,10443,UMP  S Umpqua R at HWY 42 (Winston),Umpqua,9/8/14,22.9,8.9,106,0.9,8.4,110,0.005,0.0128,0.03,41,,62.3,83.6,81.3,99.2,91.0,93.1,67.7,96.9,,96.9,81.1,Poor,Fair,Fair,Excellent,Excellent,Excellent,Poor,Excellent,Fair
2014,10437,UMP  Umpqua R at Elkton,Umpqua,1/13/14,7.5,11.9,98,2.5,7.7,110,0.005,0.108,0.09,272,,100.0,60.8,100.0,94.9,73.0,100.0,67.7,71.6,,71.6,79.0,Excellent,Poor,Excellent,Excellent,Poor,Excellent,Poor,Poor,Poor
2014,12265,MAL_Lake  Donner & Blitzen River at Page Springs Campground,Pow_Bur_Mal_Owy,9/24/14,12.9,8.5,94,0.9,7.9,110,0.01,0.0647,0.06,50,,98.9,83.6,100.0,96.6,82.0,89.5,100.0,95.7,,95.7,92.5,Excellent,Fair,Excellent,Excellent,Fair,Good,Excellent,Excellent,Excellent
2014,10456,WIL_LWR  Tualatin R at Boones Ferry Rd,Will_Sand_Hood,4/29/14,11.9,10,92,1.2,7.4,110,0.061,1.36,0.09,82,,99.7,78.7,100.0,52.0,73.0,98.4,68.9,91.6,,91.6,76.9,Excellent,Poor,Excellent,Very Poor,Poor,Excellent,Poor,Excellent,Poor
2014,10404,UMA  Umatilla R at Yoakum,JD_Umat_GR_Crook,12/2/13,7.9,11.9,104,1.1,7.9,111,0.005,0.279,0.08,28,,100.0,80.3,100.0,87.7,76.0,95.3,98.5,98.0,,98.0,90.6,Excellent,Fair,Excellent,Good,Poor,Excellent,Excellent,Excellent,Excellent
2014,11386,JOHN_D  John Day R at HWY 206,JD_Umat_GR_Crook,4/17/14,12.9,10.3,100,0.4,8.2,111,0.005,0.0025,0.04,1,,98.9,92.3,90.1,99.7,88.0,99.4,98.5,98.0,,98.0,95.3,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent
2014,11017,JOHN_D  N Fk John Day R at Kimberly,JD_Umat_GR_Crook,2/27/14,4.1,12.1,100,1.2,8.1,111,0.005,0.0025,0.04,11,,100.0,78.7,94.9,99.7,88.0,100.0,98.5,98.0,,98.0,93.8,Excellent,Poor,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent
2014,11017,JOHN_D  N Fk John Day R at Kimberly,JD_Umat_GR_Crook,10/10/13,8.9,10.4,97,0.6,8.2,111,0.005,0.0025,0.01,13,,100.0,88.7,90.1,99.7,97.0,99.7,98.5,98.0,,98.0,96.2,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent
2014,10506,DES  Deschutes R at Warm Springs,Deschutes,11/4/13,10.3,11.2,104,1.6,8.8,100,0.01,0.133,0.08,12,,100.0,72.7,66.0,93.6,76.0,95.3,86.3,98.0,,98.0,83.3,Excellent,Poor,Poor,Excellent,Poor,Excellent,Good,Excellent,Fair
2014,33930,"GS_Lakes  Chewaucan River 2.4 miles u/s of Paisley, OR",Pow_Bur_Mal_Owy,7/30/14,23,8.1,110,1.5,8.9,112,0.005,0.0025,0.08,37,,61.6,74.2,62.7,99.7,76.0,88.7,100.0,97.5,,97.5,78.3,Poor,Poor,Poor,Excellent,Poor,Good,Excellent,Excellent,Poor
2014,10404,UMA  Umatilla R at Yoakum,JD_Umat_GR_Crook,2/24/14,5.7,12.3,100,0.6,7.8,108,0.005,0.163,0.07,17,,100.0,88.7,100.0,92.6,79.0,100.0,98.9,98.0,,98.0,93.8,Excellent,Good,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent
2014,10443,UMP  S Umpqua R at HWY 42 (Winston),Umpqua,1/13/14,7.3,12,100,2.1,7.8,112,0.005,0.1,0.07,59,,100.0,65.8,100.0,95.3,79.0,100.0,67.0,94.5,,94.5,83.9,Excellent,Poor,Excellent,Excellent,Poor,Excellent,Poor,Excellent,Fair
2014,10459,WIL_LWR  Tualatin R at HWY 210 (Scholls),Will_Sand_Hood,4/29/14,11,10.2,92,1.1,7.3,112,0.071,1.27,0.08,48,,100.0,80.3,100.0,53.9,76.0,99.1,68.2,96.0,,96.0,78.5,Excellent,Fair,Excellent,Very Poor,Poor,Excellent,Poor,Excellent,Poor
2014,10461,WIL_LWR  Tualatin R at Rood Bridge,Will_Sand_Hood,2/18/14,7.6,10.6,89,1.9,7.2,112,0.039,1.92,0.17,91,,100.0,68.5,100.0,40.6,49.1,100.0,68.2,90.5,,90.5,65.4,Excellent,Poor,Excellent,Very Poor,Very Poor,Excellent,Poor,Excellent,Poor
2014,11017,JOHN_D  N Fk John Day R at Kimberly,JD_Umat_GR_Crook,8/14/14,22.8,8.1,99,0.7,8.3,113,0.005,0.0501,0.01,25,,62.9,87.0,85.6,97.5,97.0,86.0,98.2,98.0,,98.0,86.2,Poor,Good,Good,Excellent,Excellent,Good,Excellent,Excellent,Good
2014,21535,KLAM  Sprague River at Sprague River Rd,Klamath,3/18/14,7.1,10,96,1,7.8,113,0.005,0.0155,0.07,2,,100.0,81.9,100.0,99.1,79.0,98.4,96.7,98.0,,98.0,93.0,Excellent,Fair,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent
2014,10458,WIL_LWR  Tualatin R at Elsner Rd,Will_Sand_Hood,4/29/14,11.9,10.2,93,1.4,7.4,113,0.045,1.21,0.09,81,,99.7,75.7,100.0,56.1,73.0,99.1,67.8,91.7,,91.7,77.9,Excellent,Poor,Excellent,Very Poor,Poor,Excellent,Poor,Excellent,Poor
2014,10596,S_CST  Coquille R at Sturdivant Park Dock,Coast Range,9/10/14,21.3,8.1,91,1,7.7,113,0.005,0.0083,0.05,10,,71.9,81.9,100.0,99.4,85.0,86.0,52.4,98.0,,98.0,78.9,Poor,Fair,Excellent,Excellent,Good,Good,Very Poor,Excellent,Poor
2014,12005,UMA  McKay Creek at Kirk St (Pendleton),JD_Umat_GR_Crook,10/7/13,16.2,10.3,109,0.7,8.3,114,0.005,0.0348,0.09,38,,92.8,87.0,85.6,98.2,73.0,89.8,98.0,97.3,,97.3,89.0,Excellent,Good,Good,Excellent,Poor,Excellent,Excellent,Excellent,Good
2014,11522,UMP  S Umpqua R at Stewart Park Rd (Roseburg),Umpqua,1/13/14,7.6,11.9,99,1.5,7.9,114,0.005,0.0954,0.07,66,,100.0,74.2,100.0,95.5,79.0,100.0,66.2,93.6,,93.6,85.5,Excellent,Poor,Excellent,Excellent,Poor,Excellent,Poor,Excellent,Good
2014,11047,MAL  Malheur River at HWY 20 (Drewsey),Pow_Bur_Mal_Owy,3/24/14,8.9,10.9,105,0.8,8,115,0.005,0.0066,0.09,27,,100.0,85.3,100.0,99.5,73.0,94.2,100.0,98.0,,98.0,92.1,Excellent,Good,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent
