County,Year_1980,Year_1990,Year_2000,Year_2010
Baker County,16134.00,15317.00,16741.00,16134.00
Benton County,68211.00,70811.00,78139.00,85579.00
Clackamas County,241911.00,278850.00,338387.00,375992.00
Clatsop County,32489.00,33301.00,35630.00,37039.00
Columbia County,35646.00,37557.00,43560.00,49351.00
Coos County,64047.00,60273.00,62788.00,63043.00
Crook County,13091.00,14111.00,19184.00,20978.00
Curry County,16992.00,19327.00,21137.00,22364.00
Deschutes County,62142.00,74976.00,115367.00,157733.00
Douglas County,93748.00,94649.00,100397.00,107667.00
Gilliam County,2057.00,1717.00,1915.00,1871.00
Grant County,8210.00,7853.00,7935.00,7445.00
Harney County,8314.00,7060.00,7609.00,7422.00
Hood River County,15835.00,16903.00,20411.00,22346.00
Jackson County,132456.00,146387.00,181275.00,203206.00
Jefferson County,11599.00,13676.00,19009.00,21720.00
Josephine County,58855.00,62649.00,75724.00,82713.00
Klamath County,59117.00,57702.00,63773.00,66380.00
Lake County,7532.00,7186.00,7422.00,7895.00
Lane County,275226.00,282912.00,322979.00,351715.00
Lincoln County,35264.00,38889.00,44479.00,46034.00
Linn County,89495.00,91227.00,103083.00,116672.00
Malheur County,26896.00,26038.00,31615.00,31313.00
Marion County,204692.00,228483.00,284837.00,315335.00
Morrow County,7519.00,7625.00,10995.00,11173.00
Multnomah County,562647.00,583887.00,660486.00,735334.00
Polk County,45203.00,49541.00,62380.00,75403.00
Sherman County,2172.00,1918.00,1934.00,1765.00
Tillamook County,21164.00,21570.00,24264.00,25250.00
Umatilla County,58861.00,59249.00,70548.00,75889.00
Union County,23921.00,23598.00,24530.00,25748.00
Wallowa County,7273.00,6911.00,7226.00,7008.00
Wasco County,21732.00,21683.00,23791.00,25213.00
Washington County,245860.00,311554.00,445348.00,529710.00
Wheeler County,1513.00,1396.00,1547.00,1441.00
Yamhill County,55332.00,65551.00,84992.00,99193.00
,,,,
