GoalID,PROJNUM,ProjectID,GoalLUID,Goal,OtherGoal,cfsSpecified
2,19970001,1,6,improve/increase stream spawning habitat,,
3,19970001,1,7,improve/increase stream rearing habitat,,
4,19970001,1,8,improve/increase stream pools,,
1,19970001,1,1,improve/increase stream structure & complexity,,
5,19970002,2,1,improve/increase stream structure & complexity,,
6,19970002,2,6,improve/increase stream spawning habitat,,
7,19970002,2,8,improve/increase stream pools,,
8,19970003,3,7,improve/increase stream rearing habitat,,
9,19970003,3,9,improve/increase stream off-channel habitat,,
10,19970003,3,10,improve/increase stream over-winter habitat,,
11,19970004,4,4,improve/increase stream gravel recruitment,,
14,19970004,4,15,improve/increase stream refuge cover,,
12,19970004,4,7,improve/increase stream rearing habitat,,
13,19970004,4,10,improve/increase stream over-winter habitat,,
15,19970005,5,7,improve/increase stream rearing habitat,,
16,19970005,5,10,improve/increase stream over-winter habitat,,
17,19970005,5,15,improve/increase stream refuge cover,,
18,19970006,6,7,improve/increase stream rearing habitat,,
19,19970006,6,10,improve/increase stream over-winter habitat,,
20,19970006,6,15,improve/increase stream refuge cover,,
21,19970006,6,16,increase future LWD recruitment to stream,,
24,19970007,7,15,improve/increase stream refuge cover,,
23,19970007,7,10,improve/increase stream over-winter habitat,,
22,19970007,7,7,improve/increase stream rearing habitat,,
26,19970008,8,10,improve/increase stream over-winter habitat,,
27,19970008,8,15,improve/increase stream refuge cover,,
25,19970008,8,7,improve/increase stream rearing habitat,,
28,19970009,9,7,improve/increase stream rearing habitat,,
29,19970009,9,10,improve/increase stream over-winter habitat,,
30,19970009,9,15,improve/increase stream refuge cover,,
31,19970010,10,7,improve/increase stream rearing habitat,,
32,19970010,10,10,improve/increase stream over-winter habitat,,
33,19970010,10,15,improve/increase stream refuge cover,,
34,19970011,11,1,improve/increase stream structure & complexity,,
39,19970011,11,18,increase streambank stabilization/protection,,
38,19970011,11,10,improve/increase stream over-winter habitat,,
37,19970011,11,8,improve/increase stream pools,,
35,19970011,11,2,improve/increase stream interaction with floodplain,,
36,19970011,11,7,improve/increase stream rearing habitat,,
40,19970012,12,7,improve/increase stream rearing habitat,,
41,19970012,12,8,improve/increase stream pools,,
42,19970012,12,10,improve/increase stream over-winter habitat,,
43,19970012,12,16,increase future LWD recruitment to stream,,
44,19970013,13,1,improve/increase stream structure & complexity,,
48,19970013,13,10,improve/increase stream over-winter habitat,,
49,19970013,13,16,increase future LWD recruitment to stream,,
47,19970013,13,8,improve/increase stream pools,,
45,19970013,13,2,improve/increase stream interaction with floodplain,,
46,19970013,13,7,improve/increase stream rearing habitat,,
57,19970014,14,97,other,road decommission,
